# 17-cut-sweep-manifest.tsv — Phase 17 (Ambient Extras) criterion-3 sweep data.
# Schema (tab-separated, 9 columns, # comments allowed):
#   ID  PLAN  UNIT  ARTIFACT  CONSUMER  SCOPE  REF  MODE  NOTE
#
# ARTIFACT vocabulary: exec:<path> | file:<path> | dir:<path> |
#   sym:<path>::<literal> | none
# CONSUMER: repo-relative path | "-" (no consumer) | glob:<name-pattern>
#   (enumerate every matching file via `find . -name <pattern>`)
# SCOPE: file | array:<NAME> | nocomment
# REF: fixed string by default; an ERE only when prefixed `re:`
# MODE: pair | branch | warn | empty
#
# Row IDs are stable and are quoted in 17-SWEEP-REPORT.md. S-NN =
# artifact<->consumer pairs and invariants; E-NN = emptiness assertions.
# Every ARTIFACT/CONSUMER/REF value below was transcribed from the
# shipped repo text at Task 2 execution time (2026-08-10), not from
# 17-06-PLAN.md's own <sweep_inventory> predictions.
#
# The phase-17 invariant token set used by S-22/S-23/E-01/E-02 (the
# "carries zero phase-17 tokens" rows) is NOT a bare noun/filename list —
# bare "wallpaper-picker", "gaming-mode-toggle.sh" and "quickshell-doctor"
# are deliberately EXCLUDED because those files/names predate Phase 17
# (windowrules.lua:46/:72-73's pre-existing lines are exactly the
# false-positive traps this precision exists to dodge). Only genuinely
# NEW-this-phase file names and NEW-this-phase symbol names are tokens.
# Verified live at authoring time: zero hits in windowrules.lua, zero in
# autostart.lua, zero across all 38 *.qml files.

# ── AMB-01 track ──────────────────────────────────────────────────────
S-01	17-01	wallpaper-visibility.sh	exec:hypr/.config/hypr/scripts/wallpaper-visibility.sh	install.sh	array:AUR_PKGS	re:^[[:space:]]+mpvpaper$	pair	transcribed verbatim; mpvpaper is the sole entry in that indentation column
S-02	17-01	wallpaper-visibility.sh (owner) x stow.sh live/ pre-create loop	exec:hypr/.config/hypr/scripts/wallpaper-visibility.sh	stow.sh	file	$HOME/Pictures/Wallpapers/$theme_name/live	pair	transcribed verbatim from the shipped stow.sh:223 mkdir -p line; tracer row, proven in Task 1
S-03	17-01	wallpaper-visibility.sh (owner) x .gitignore media exclusion	exec:hypr/.config/hypr/scripts/wallpaper-visibility.sh	.gitignore	file	wallpapers/Pictures/Wallpapers/*/live/	pair	transcribed verbatim from .gitignore:41
S-04	17-01	wallpaper-fullscreen-watch.sh (D-27, conditional branch)	file:hypr/.config/hypr/scripts/wallpaper-fullscreen-watch.sh	hypr/.config/hypr/scripts/wallpaper-visibility.sh	nocomment	re:^[[:space:]]*(idle|gaming|motion|fullscreen)\)$	branch	17-01's own recorded D-26 verdict: PASS on -a full, D-27 watcher NOT built. Live-verified: the watcher file does not exist AND no fullscreen source name appears in the real allowlist case statement (only idle|gaming|motion) - symmetric absence, matching the SUMMARY exactly
S-05	17-02	theme_engine_wallpaper_extract_frame	sym:theme-engine/.config/theme-engine/lib/wallpaper.sh::theme_engine_wallpaper_extract_frame	theme-engine/.config/theme-engine/contract.json	file	wallpaper-frames	pair	confirmed the 12th engine_owned_files entry per 17-02-SUMMARY.md
S-06	17-02	theme_engine_wallpaper_frame_repair	sym:theme-engine/.config/theme-engine/lib/wallpaper.sh::theme_engine_wallpaper_frame_repair	theme-engine/.config/theme-engine/theme-apply	file	theme_engine_wallpaper_frame_repair	pair	call site precedes theme_engine_generate per 17-02's own D-08 ordering
S-07	17-02	theme_engine_wallpaper_is_live_ref	sym:theme-engine/.config/theme-engine/lib/wallpaper.sh::theme_engine_wallpaper_is_live_ref	theme-engine/.config/theme-engine/theme-doctor	file	theme_engine_wallpaper_is_live_ref	pair	the D-11 conditional gate's own shape check
S-08	17-03	theme_engine_wallpaper_sync_owner	sym:theme-engine/.config/theme-engine/lib/wallpaper.sh::theme_engine_wallpaper_sync_owner	theme-engine/.config/theme-engine/theme-apply	file	theme_engine_wallpaper_sync_owner	pair	D-21's single owner-declaration call site, between autoset and reload
S-09	17-03	theme_engine_wallpaper_sync_owner (hypridle consumer)	sym:theme-engine/.config/theme-engine/lib/wallpaper.sh::theme_engine_wallpaper_sync_owner	hypr/.config/hypr/hypridle.conf	file	wallpaper-visibility.sh idle hide	pair	the pre-existing 300s dim listener extended, no new listener block (D-30) - verbatim from hypridle.conf:72-73
S-10	17-03	_gaming_wallpaper_toggle	sym:hypr/.config/hypr/scripts/gaming-mode-toggle.sh::_gaming_wallpaper_toggle	hypr/.config/hypr/scripts/gaming-mode-toggle.sh	file	_gaming_wallpaper_toggle show	pair	gaming_mode_off's mirrored idle-show call, closing the stranded-idle case
S-11	17-03	_qsd_assert_mpvpaper_layers	sym:hypr/.config/hypr/scripts/quickshell-doctor::_qsd_assert_mpvpaper_layers	hypr/.config/hypr/scripts/quickshell-doctor	file	_qsd_check_mpvpaper_layer_coexistence	pair	the tail call site that actually invokes the coexistence gate
